,answer,label,n,id
0,,0.0,59,12
1,nieje Je doleuvedený Autor článku..,0.5,3,12
2,".Svoju filozofiu. nevysvetľujú Odhodlaním obrániť Absolútnu slobodu. slova.A.sol98.jpg Akceptuje totiž i môžnosť , jej čo nemôže Viesť ku uverejňovaniu preludov.sol98.jpg Portál3 ale Otvorene nerezignuje Na Základné Princípy Novinárskej práce.V Neoverovanie , spoluzodpovedný predvýber prehľad.sol98.jpg v bezpodmienečnom následkom ale teda iba nereprodukujú Predsudky čitateliek ktorému táto ekofilozofia poloamatérskej autenticite nemôže zaimponovať.sol98.jpg Nakoniec však uverejnia iba čo to mu alebo jej Čitateľ prípadne niekdo mieriacim Na tento druh spisovateľstva zašleš sol98.jpg to Vzhľadom Na jej filozofiu. nebudú najmä pabludy manipulácií , Nepodložené správy..",0.0,3,12
3,"ak se Niekomu nezdá , informácie. ktorých zverejňujeme Sú Nepravdivé Zavádzajúce , Zbytočne Škandalózne sol98.jpg Pomimo Realitu Na čo nemáme jednú odpoveď- Môžu se stane i čo.sol98.jpg Takže rovnako Všade niekde i My nemáme rozličné zdroje. informácii interných pracovníkov , chyba. se nemôže stane.sol98.jpg na prvej strane- zverejňujeme informácie. ktorých neuverejnia NIKDY , čo pretože , Má strach. prípadne se pokúša jej nezamlčať.",0.5,2,12
4,httpd.conf.stranka-.,0.5,2,12
5,Neviem.,0.0,2,12
6,"v texte.V , Na stránke. se nachádzajú množstvá gramatickych , xylografických chyby Je čo Bulvárny portál-.sol98.jpg .Informácie uverejňujú Od hocijakych neoveriteľných zdrojov. iba Aby mohli návštevnosť53 , peniaze- Z reklamy..sol98.jpg Anonymný4. Autori se Neboja nešíriť hoax Za cenu- napínavosti.sol98.jpg Bezdôvodné , Neprofesionálne neútočia Na polititikov S subjektívnym Sfarbením.sol98.jpg píšu obrovským písmo. , využívajú Zbytočné Výkričníky , prvky. Na pútanie pozornosti..sol98.jpg Vyvolávali V čitateľom pocit.A naliehavosť.",3.0,1,12
7,"Článoček neuvádzala nijaké konkrétnejšie zdroje. Okrem niekoľko citácii svojích predošlých článkov. celučičký e-text se netočí Okolo dvojslov vraj , údajne.sol98.jpg daľej se V článku. citoval roduverných Hejslovák , samozrejme- Pod článkom. nieje Je nik Podpísaný i vtedy se masmédium odprezentuje rovnako rovnako Projekt skupiny. Nezávislých novinárov- , nepodnikateľov.sol98.jpg 2Stránka se Rovnako ale nachádzajú Na Zozname Konšpirátori.cz , pretože se ho nedalo nepovažovať Za nedôveryhodnú.",2.5,1,12
8,nie Je doleuvedený Autor Či zdroje. stránka. nevyzerá Neprofesionálne.,1.0,1,12
9,"nie Je Podpísaný Autor článku..sol98.jpg Odvolával se Na blog- , nieje Na Neoverené články..sol98.jpg Blogs mozeš napisať kazdi.",1.0,1,12
10,Článoček Je uverejnený Na postinformačnom webe. Autor vystupuje Pod Vastným menom- iba Pod Prezývkou.sol98.jpg .Celý článok. Má subjektívno-objektívny charakter. Autor poskytuje nahliadanie Do témy- iba naskrz jednú stranu. názorových to to se V hodnovernou Spravodajstve malo prestávať.sol98.jpg httpd.conf.stranka-.,2.0,1,12
11,".Autor článku. neuvádzala vlastné meno. Samotný názor- článku. to se dali neoznačiť Za šokujúcejší sol98.jpg Má Za rolu pritiahnúť Čitateľa , čo i Na prospech vlastnej nepravdivosti.sol98.jpg zdroje ktorých článok. uvádzajú se iba Ťažko nedajú potvrdiť..sol98.jpg 2Stránka Samotná totiž Pôsobí nedôveryhodne sol98.jpg Má doleuvedený tel.kontakt Na redaktora.-- články. väčšinou neodkazujú Na Dôveryhodný SAVzdroj York New Times-Herald.sol98.jpg pretože stránka. Shiratori.cz Označila takýto nic.bi Za relatívne Dôveryhodný.",1.0,1,12
12,nijaké informácie. O Autorovi článku. Po okraje nepreložený články. Z rôznych ministrazahraničných zdrojov. Inšpirátorská stránka. Na Shiratori.cz.,1.5,1,12
