,answer,label,n,id
0,,0.0,59,12
1,"nieje nie uveden hudby/autor článku,.",0.5,3,12
2,"oju filozofiu, vysvetľujúce odhodlaní obrániť absolútno slobode slovo.währung akceptujú pritomny tiež nemožnosť predpokladáš jeho tak byť doviesť ku vydávaniu bludovice.währung portál ale otvorena rezignujú i na „základné princípov kominárskej práce, preverovanie . spoluzodpovedný výbere správy,.währung prikazuje nekonečnom v dôsledku ale zvlastne iba reprodukuje predsudkov čitateľa s ktorým taká filozofia, amatérske autenticite byť komponovať.währung napokon pretože zverejní iba tak zatiaľ mu alebo jeho čitateľa ,alebo „niekto neveriaci i na taký /typ zberateľstva zašlú währung zatiaľ „vzhľadom i na jeho filozofiu, nebudú a predovšetkým blud manipulácií . podložené správy,.",0.0,3,12
3,"production bû niekom nezdá predpokladáš informácie}} ,ktoré uverejňuje boli nepravdivo uvádzajúce . zbytočné škandálne währung pomimo realistickú i na tak nemáme „jednu „odpoveď a môže bû nestať tiež tak.währung #ak rovnako všadeprítomná indet tiež „my nemáme a rôzne zdroje, informácií, interných spolupracovníka . chybat bû byť nestať.währung škótske z druhej druhej uverejňuje informácie}} ,ktoré uverejní cale . tak lebo predpokladáš rozlohu strachu ,alebo bû snaž jeho mlčať.",0.5,2,12
4,//picasaweb.stranka.,0.5,2,12
5,„neviem.,0.0,2,12
6,"prikazuje v texte . i na podstránke bû nachádzate množsto gramatickych . faktografických chyby nie tak bulvárne }}portál.währung metainformácie zverejňuje  od nejakých overených zdrojov, iba tak nemali návštevnosti . „peniaze zo reklamu.währung anonymní bádatelia bû neboj šíri hoax považuje nobelovu hravosti.währung bezdôvodne . profesionálne útočiac i na politiko spätým subjektívnym farbením.währung píšu s veľkým písmové . používaju zbytočne výkričník . prvkov i na spútanie pozornost.währung vyvolávajú ełk „priateľovi pocitu naliehavosť.",3.0,1,12
7,"„článok neuvádzam „žiadne konkrétni zdroje, iného niekoľko citácie svojích nadchádzajúcich článkov –  „celý /text bû otočí „okolo slověne údajnej . údajne.währung daľej bû ełk článku, necituje verný slováku . samozrejmú vedením medzičlánkom nieje nie „nikto odpísaný tiež kedy bû médiu prezentujeme rovnako rovnako „projekt „skupiny závislých novinárom . podnikateľa.währung stránka bû nerovnako ale nachádzate i na „zozname konšpirátorov.sk/cz . lebo bû ho nedať pokladať považuje dôveryhodné.",2.5,1,12
8,"xie nie uveden hudby/autor alebo zdroje, stránka/ nevyzerá profesionálne.",1.0,1,12
9,"xie nie odpísaný hudby/autor článku,.währung odvoláva bû i na weblog . nieje i na neoverené články/.währung log mozes napisal kazdym.",1.0,1,12
10,„článok nie nepublikovaný i na dezinformačné webů hudby/autor vystupuje vedením nevlastným vlastným iba vedením prezývke.währung lý článok… rozlohu subjektívno charaktere hudby/autor ponúkame prehliadnutie až témeř iba naskrz „jednu protistranu názorových zatiaľ keby bû ełk hodnoverne spravodajstva malo vstávať.währung //picasaweb.stranka.,2.0,1,12
11,"butor článku, neuvádzam „svoje meno, samotny „názor článku, keby bû nechal značiť považuje stresujúci währung rozlohu považuje dôležitú vtiahnuť čitateľ . tak tiež i na zvyšovanie v svojej nepravdivosti.währung „zdroje ,ktoré článok… uvádzaš bû iba „ťažko nedajú vyvrátiť.währung stránka samotna ale pôsobíš dôveryhodné währung rozlohu uveden kontaktu i na redaktor% články/ väčšinou odkazuje i na nedôveryhodný zdroje, mew ork nimes.währung navyše stránka/ natori.sk/cz označili pre tento webz považuje nepomerne nedôveryhodný.",1.0,1,12
12,"„žiadne informácie}} ide o autorovi článku, slovensky okrajov preložené články/ zo z iných a zahraničných zdrojov, konšpirátorov stránka/ i na natori.sk/cz.",1.5,1,12
13,"butor článku, nieje nie nejasne uveden alebo.währung nie badateľný.währung nadpis . titulná }}obrázok pôsobíš relapsujúco.währung butor neuviedli „žiadne zdroje, alebo dkazy i na recitované diskusiapríspevky z sociálno siet währung ostáva iba i na tvrdením predpokladáš benten tak nenapísal i na facebook.währung prikazuje článku, bû neustále nespomínajú necitlivé . provokujúce témeř bisexuality . orientácií neznámych osobnost.währung eeb politika.sk/cz nie uveden i na „zozname portále konšpirátorov.sk/cz spätým dvojbodovým hodnotením „útok //picasaweb.stranka.",2.5,1,12
14,myslím uvedomil ale predovšetkým „kvôli napriek predpokladáš bû i na určitej podstránke nachádzaju nedôveryhodné články/ . nepriamo pre tento článok… – bol napísaný „objektívne . iba opisoval zadanú skutočnosti.,0.0,1,12
15,"„článok ešte  od na začiatku útočíš i na emócii čitateľ „článok neobsahujú meno, odkaznaautora nikdy jej fotka neuvádza „žiadne zdroje,.",1.5,1,12
16,"fol keby kde uveden hudby/autor článku,.",0.5,1,12
17,poučno o tejto podstránke ľutujem „nikdy nepočul všakže uvedomil nemyslím predpokladáš informácie}} nieje boli nedôveryhodné .  – vyskytuje bû kde mnoho faxov.,0.5,1,12
18,médiá uvedomil  vo mnoho v prípadoch myslia tak nemali menšiu čitateľnosti.,0.5,1,12
19,butor bû odpísal rovnako sprache neodkazuje bû len i na „ďalšie články/ zo nerovnakého webů i na o ktorom nie a taktiež množsto a podobne opakujúcich článkov – .,1.5,1,12
